port_code,port_name,city,country
NOKJF,Kjøllefjord,Kjollefjord,Norway
NOKJK,Kjøpsvik,Kjopsvik,Norway
NOKKN,Kirkenes,Kirkenes,Norway
NOKLD,Kolvereid,Kolvereid,Norway
NOKLE,Kleppestø,Kleppesto,Norway
NOKMN,Kårhamn,Karhamn,Norway
NOKMO,Kambo,Kambo,Norway
NOKMS,Kjøpmannskjær,Kjopmannskjar,Norway
NOKMY,Karmøy,Karmoy,Norway
NOKOL,Kollsnes Øst,Kollsnes Ost,Norway
NOKON,Kollsnes,Kollsnes,Norway
NOKOP,Kopervik,Kopervik,Norway
NOKPG,Kaupanger,Kaupanger,Norway
NOKRA,Kragerø,Kragero,Norway
NOKRS,Kristiansand,Kristiansand,Norway
NOKRV,Knarrevik,Knarrevik,Norway
NOKSU,Kristiansund,Kristiansund,Norway
NOKSY,Kvitsøy,Kvitsoy,Norway
NOKUV,Kuvika,Kuvika,Norway
NOKVF,Kvåfjord,Kvafjord,Norway
NOKVG,Kalvåg,Kalvag,Norway
NOKVH,Kvinnherad,Kvinnherad,Norway
NOKVL,Kristoffervalen,Kristoffervalen,Norway
NOKVM,Kvam,Kvam,Norway
NOKVN,Kvænangen,Kvanangen,Norway
NOKVR,Kvæfjord,Kvafjord,Norway
NOKVS,Kvalsund,Kvalsund,Norway
NOKVV,Kvalvika,Kvalvika,Norway
NOKYR,Kyrksæterøra,Kyrksaterora,Norway
NOLAD,Langesund,Langesund,Norway
NOLAG,Langevåg,Langevag,Norway
NOLAN,Langevåg - Sula,Langevag - Sula,Norway
NOLAO,Langøya,Langoya,Norway
NOLAR,Larvik,Larvik,Norway
NOLAS,Lenangen Søndre,Lenangen Sondre,Norway
NOLAV,Lavangen,Lavangen,Norway
NOLAY,Lenangsøyra,Lenangsoyra,Norway
NOLDS,Lindesnes,Lindesnes,Norway
NOLEA,Leirvik i Hyllestad,Leirvik i Hyllestad,Norway
NOLEB,Lebesby,Lebesby,Norway
NOLEF,Leirfjord,Leirfjord,Norway
NOLEK,Leikanger,Leikanger,Norway
NOLEP,Leirpollen,Leirpollen,Norway
NOLES,Lenvik,Lenvik,Norway
NOLEV,Levanger,Levanger,Norway
NOLFF,Listraumen,Listraumen,Norway
NOLGS,Langstein,Langstein,Norway
NOLIA,Liavåg,Liavag,Norway
NOLID,Liland,Liland,Norway
NOLIE,Lier,Lier,Norway
NOLIL,Lillesand,Lillesand,Norway
NOLIN,Lindås,Lindas,Norway
NOLIT,Litangen,Litangen,Norway
NOLKA,Leka,Leka,Norway
NOLKN,Leknes,Leknes,Norway
NOLKV,Leksvik,Leksvik,Norway
NOLNE,Leines,Leines,Norway
NOLOD,Lødingen,Lodingen,Norway
NOLOE,Loen,Loen,Norway
NOLON,Lonevåg,Lonevag,Norway
NOLOP,Loppa,Loppa,Norway
NOLOV,Lovund,Lovund,Norway
NOLRA,Lura,Lura,Norway
NOLRD,Lærdal,Lardal,Norway
NOLRE,Lessremman,Lessremman,Norway
NOLRI,Leirvik,Leirvik,Norway
NOLRK,Larkollen,Larkollen,Norway
NOLSU,Lysøysund,Lysoysund,Norway
NOLUL,Lutelandet,Lutelandet,Norway
NOLUR,Lurøy,Luroy,Norway
NOLUS,Luster,Luster,Norway
NOLVG,Laksevåg,Laksevag,Norway
NOLVK,Laukvik,Laukvik,Norway
NOLYD,Lyngseidet,Lyngseidet,Norway
NOLYF,Lysebotn,Lysebotn,Norway
NOLYN,Lyngen,Lyngen,Norway
NOLYS,Lysaker,Lysaker,Norway
NOMAH,Maurholen,Maurholen,Norway
NOMAK,Malvik,Malvik,Norway
NOMAN,Mandal,Mandal,Norway
NOMAT,Matre - Masfjorden,Matre - Masfjorden,Norway
NOMAU,Mausund,Mausund,Norway
NOMAV,Målselv,Malselv,Norway
NOMAY,Måløy,Maloy,Norway
NOMEH,Mehamn,Mehamn,Norway
NOMEL,Melbu,Melbu,Norway
NOMEN,Menstad,Menstad,Norway
NOMEV,Melsomvik,Melsomvik,Norway
NOMEY,Meløy,Meloy,Norway
NOMGR,Manger,Manger,Norway
NOMID,Midsund,Midsund,Norway
NOMIS,Misvær,Misvar,Norway
NOMIT,Misten,Misten,Norway
NOMJF,Mosjøen,Mosjoen,Norway
NOMLD,Meland,Meland,Norway
NOMLK,Melkøya,Melkoya,Norway
NOMLM,Malm,Malm,Norway
NOMLS,Melhus,Melhus,Norway
NOMLT,Moldtustranda,Moldtustranda,Norway
NOMOB,Mongstadbase,Mongstadbase,Norway
NOMOD,Modalen,Modalen,Norway
NOMOL,Molde,Molde,Norway
NOMON,Mongstad,Mongstad,Norway
NOMOR,Mørsvikbotn,Morsvikbotn,Norway
NOMOS,Mosterhamn,Mosterhamn,Norway
NOMOV,Mølstrevåg,Molstrevag,Norway
NOMQN,Mo i Rana,Mo i Rana,Norway
NOMRV,Muruvika,Muruvika,Norway
NOMSD,Mjølstadneset,Mjolstadneset,Norway
NOMSF,Masfjorden,Masfjorden,Norway
NOMSK,Moskenes,Moskenes,Norway
NOMSS,Moss,Moss,Norway
NOMSV,Mosvik,Mosvik,Norway
NOMSY,Måsøy,Masoy,Norway
NOMVV,Mjølkevikvarden,Mjolkevikvarden,Norway
NOMYO,Myre-Øksnes,Myre-Oksnes,Norway
NONAU,Naustdal,Naustdal,Norway
NONEO,Nesodden,Nesodden,Norway
NONEV,Nevlunghamn,Nevlunghamn,Norway
NONFD,Nordfjordeid,Nordfjordeid,Norway
NONFO,Nordfosen,Nordfosen,Norway
NONHS,Norheimsund,Norheimsund,Norway
